drop_type,mob_vnum,mob_name,mob_level,mob_exp,drop_slot,item_vnum,item_name,drop_rate,rate_scale,group_num,group_type
direct,40,Grem,45,53800,7,133,,10000,roll_0_10000,,
direct,40,Grem,45,53800,8,190,,10000,roll_0_10000,,
direct,40,Grem,45,53800,9,194,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,0,312,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,1,317,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,2,322,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,3,411,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,4,328,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,5,333,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,6,338,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,7,416,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,8,158,,10000,roll_0_10000,,
direct,41,Pro Giant,50,69400,9,195,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,0,151,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,1,469,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,2,467,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,3,411,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,4,346,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,5,351,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,6,356,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,7,421,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,8,121,,10000,roll_0_10000,,
direct,48,Brain Warrior,55,88300,9,213,,10000,roll_0_10000,,
direct,50,x_0 Skulleon,15,17000,0,10,,0,roll_0_10000,,
direct,50,x_0 Skulleon,15,17000,1,21,,0,roll_0_10000,,
direct,50,x_0 Skulleon,15,17000,2,136,,0,roll_0_10000,,
direct,50,x_0 Skulleon,15,17000,3,113,,0,roll_0_10000,,
direct,54,Gremlin,40,41200,0,412,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,1,440,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,2,194,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,3,60,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,4,181,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,5,345,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,6,162,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,7,327,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,8,367,,10000,roll_0_10000,,
direct,54,Gremlin,40,41200,9,311,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,0,176,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,1,284,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,2,287,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,3,544,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,4,180,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,5,289,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,6,290,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,7,291,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,8,198,,10000,roll_0_10000,,
direct,58,Zombie,61,101300,9,288,,0,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,0,255,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,1,293,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,2,306,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,3,305,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,4,905,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,5,353,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,6,358,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,7,423,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,8,199,,10000,roll_0_10000,,
direct,59,Skeleton Captain,100,468400,9,250,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,0,178,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,1,285,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,2,305,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,3,176,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,4,330,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,5,335,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,6,340,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,7,418,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,8,284,,10000,roll_0_10000,,
direct,60,Skeleton Soldier,75,204200,9,287,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,0,314,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,1,319,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,2,362,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,3,413,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,4,370,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,5,375,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,6,380,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,7,428,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,8,180,,10000,roll_0_10000,,
direct,61,Skeleton Wizard,70,168400,9,177,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,0,371,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,1,376,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,2,381,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,3,429,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,4,315,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,5,320,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,6,363,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,7,414,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,8,200,,10000,roll_0_10000,,
direct,62,Horn Beast,110,1241600,9,255,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,0,331,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,1,336,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,2,341,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,3,419,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,4,349,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,5,354,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,6,359,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,7,424,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,8,293,,10000,roll_0_10000,,
direct,63,Drarion,120,1608800,9,306,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,0,146,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,1,145,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,2,48,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,3,168,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,4,365,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,5,343,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,6,431,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,7,309,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,8,145,,10000,roll_0_10000,,
direct,97,Armored Mouse,1,1000,9,209,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,0,169,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,1,155,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,2,191,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,3,154,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,4,187,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,5,170,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,6,49,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,7,34,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,8,140,,10000,roll_0_10000,,
direct,98,Armored Crab,8,5700,9,210,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,0,203,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,1,163,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,2,366,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,3,169,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,4,155,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,5,191,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,6,154,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,7,187,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,8,170,,10000,roll_0_10000,,
direct,99,Poison Crab,10,7000,9,34,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,0,459,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,1,159,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,2,344,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,3,167,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,4,325,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,5,188,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,6,461,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,7,203,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,8,366,,10000,roll_0_10000,,
direct,100,Sea Scorpion,22,14100,9,133,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,0,150,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,1,193,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,2,189,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,3,464,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,4,468,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,5,462,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,6,460,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,7,133,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,8,146,,10000,roll_0_10000,,
direct,101,Poison Scorpion,30,23200,9,211,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,0,212,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,1,190,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,2,194,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,3,60,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,4,160,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,5,345,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,6,327,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,7,367,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,8,311,,10000,roll_0_10000,,
direct,102,Chmero,35,31100,9,133,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,0,162,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,1,181,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,2,61,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,3,510,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,4,368,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,5,373,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,6,378,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,7,426,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,8,158,,10000,roll_0_10000,,
direct,104,Dark Soldier,47,59700,9,195,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,0,176,,2500,roll_0_10000,,
direct,105,Devil Giant,65,137400,1,182,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,2,286,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,3,144,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,4,179,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,5,469,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,6,467,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,7,133,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,8,121,,10000,roll_0_10000,,
direct,105,Devil Giant,65,137400,9,196,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,0,313,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,1,318,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,2,361,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,3,412,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,4,329,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,5,334,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,6,339,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,7,417,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,8,133,,10000,roll_0_10000,,
direct,106,Battle Giant,72,182100,9,197,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,0,347,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,1,352,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,2,357,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,3,422,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,4,369,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,5,374,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,6,379,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,7,427,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,8,133,,10000,roll_0_10000,,
direct,107,Mad Cyborg,70,168400,9,197,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,0,414,,5000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,1,349,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,2,200,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,3,341,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,4,336,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,5,331,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,6,315,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,7,251,,10000,roll_0_10000,,
direct,108,Mace Kabal,105,622000,8,256,,2500,roll_0_10000,,
direct,108,Mace Kabal,105,622000,9,359,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,0,369,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,1,374,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,2,379,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,3,313,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,4,318,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,5,361,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,6,199,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,7,329,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,8,334,,10000,roll_0_10000,,
direct,109,Mad Cyborg,70,185200,9,339,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,0,314,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,1,380,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,2,375,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,3,177,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,4,178,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,5,285,,2500,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,6,305,,2500,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,7,198,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,8,313,,10000,roll_0_10000,,
direct,110,Skewer Halfer,65,151100,9,370,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,0,252,,2500,roll_0_10000,,
direct,111,Drakion,125,5453000,1,257,,2500,roll_0_10000,,
direct,111,Drakion,125,5453000,2,350,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,3,360,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,4,382,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,5,216,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,6,217,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,7,218,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,8,219,,10000,roll_0_10000,,
direct,111,Drakion,125,5453000,9,355,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,0,332,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,1,292,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,2,430,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,3,364,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,4,355,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,5,350,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,6,257,,2500,roll_0_10000,,
direct,112,Drakion,120,2775000,7,252,,2500,roll_0_10000,,
direct,112,Drakion,120,2775000,8,342,,10000,roll_0_10000,,
direct,112,Drakion,120,2775000,9,337,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,0,267,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,1,161,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,2,152,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,3,21,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,4,189,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,5,206,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,6,261,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,7,147,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,8,211,,10000,roll_0_10000,,
direct,115,x_0 Nose Santa,25,30000,9,133,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,0,215,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,1,188,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,2,383,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,3,384,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,4,385,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,5,192,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,6,6,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,7,109,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,8,159,,10000,roll_0_10000,,
direct,116,x_0 Nose Santa,25,30000,9,264,,10000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,0,256,,10000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,1,906,,10000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,2,331,,5000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,3,548,,10000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,4,315,,5000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,5,359,,5000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,6,354,,5000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,7,289,,10000,roll_0_10000,,
direct,119,Ark Jackal,105,393900,8,425,,2500,roll_0_10000,,
direct,119,Ark Jackal,105,393900,9,470,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,0,251,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,1,291,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,2,407,,1000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,3,548,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,4,256,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,5,336,,5000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,6,331,,5000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,7,289,,10000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,8,320,,5000,roll_0_10000,,
direct,120,Claw Jackal,107,540600,9,470,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,0,316,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,1,321,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,2,364,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,3,415,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,4,372,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,5,377,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,6,382,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,7,430,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,8,292,,10000,roll_0_10000,,
direct,121,Gonetor,114,474700,9,407,,2500,roll_0_10000,,
direct,122,Wolfen,120,341300,0,257,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,1,292,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,2,408,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,3,548,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,4,332,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,5,337,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,6,342,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,7,420,,10000,roll_0_10000,,
direct,122,Wolfen,120,341300,8,252,,1000,roll_0_10000,,
direct,122,Wolfen,120,341300,9,251,,10000,roll_0_10000,,
direct,123,Gonma,120,501200,0,257,,10000,roll_0_10000,,
direct,123,Gonma,120,501200,1,294,,10000,roll_0_10000,,
